,Unnamed: 0,Main_date,MDate,nEnteredAcd,Start
0,0,2022-03-01 00:00:00,2022-03-01 00:00:00,,
1,1,2022-03-01 00:15:00,2022-03-01 00:15:00,,
2,2,2022-03-01 00:30:00,2022-03-01 00:30:00,,
3,3,2022-03-01 00:45:00,2022-03-01 00:45:00,,
4,4,2022-03-01 01:00:00,2022-03-01 01:00:00,,
5,5,2022-03-01 01:15:00,2022-03-01 01:15:00,,
6,6,2022-03-01 01:30:00,2022-03-01 01:30:00,,
7,7,2022-03-01 01:45:00,2022-03-01 01:45:00,,
8,8,2022-03-01 02:00:00,2022-03-01 02:00:00,,
9,9,2022-03-01 02:15:00,2022-03-01 02:15:00,,
10,10,2022-03-01 02:30:00,2022-03-01 02:30:00,,
11,11,2022-03-01 02:45:00,2022-03-01 02:45:00,,
12,12,2022-03-01 03:00:00,2022-03-01 03:00:00,,
13,13,2022-03-01 03:15:00,2022-03-01 03:15:00,,
14,14,2022-03-01 03:30:00,2022-03-01 03:30:00,,
15,15,2022-03-01 03:45:00,2022-03-01 03:45:00,,
16,16,2022-03-01 04:00:00,2022-03-01 04:00:00,,
17,17,2022-03-01 04:15:00,2022-03-01 04:15:00,,
18,18,2022-03-01 04:30:00,2022-03-01 04:30:00,,
19,19,2022-03-01 04:45:00,2022-03-01 04:45:00,,
20,20,2022-03-01 05:00:00,2022-03-01 05:00:00,,
21,21,2022-03-01 05:15:00,2022-03-01 05:15:00,,
22,22,2022-03-01 05:30:00,2022-03-01 05:30:00,,
23,23,2022-03-01 05:45:00,2022-03-01 05:45:00,,
24,24,2022-03-01 06:00:00,2022-03-01 06:00:00,,
25,25,2022-03-01 06:15:00,2022-03-01 06:15:00,,
26,26,2022-03-01 06:30:00,2022-03-01 06:30:00,,
27,27,2022-03-01 06:45:00,2022-03-01 06:45:00,,
28,28,2022-03-01 07:00:00,2022-03-01 07:00:00,,
29,29,2022-03-01 07:15:00,2022-03-01 07:15:00,,
30,30,2022-03-01 07:30:00,2022-03-01 07:30:00,,
31,31,2022-03-01 07:45:00,2022-03-01 07:45:00,,
32,32,2022-03-01 08:00:00,2022-03-01 08:00:00,,
33,33,2022-03-01 08:15:00,2022-03-01 08:15:00,,
34,34,2022-03-01 08:30:00,2022-03-01 08:30:00,,
35,35,2022-03-01 08:45:00,2022-03-01 08:45:00,,
36,36,2022-03-01 09:00:00,2022-03-01 09:00:00,,
37,37,2022-03-01 09:15:00,2022-03-01 09:15:00,,
38,38,2022-03-01 09:30:00,2022-03-01 09:30:00,,
39,39,2022-03-01 09:45:00,2022-03-01 09:45:00,,
40,40,2022-03-01 10:00:00,2022-03-01 10:00:00,,
41,41,2022-03-01 10:15:00,2022-03-01 10:15:00,,
42,42,2022-03-01 10:30:00,2022-03-01 10:30:00,,
43,43,2022-03-01 10:45:00,2022-03-01 10:45:00,,
44,44,2022-03-01 11:00:00,2022-03-01 11:00:00,,
45,45,2022-03-01 11:15:00,2022-03-01 11:15:00,,
46,46,2022-03-01 11:30:00,2022-03-01 11:30:00,,
47,47,2022-03-01 11:45:00,2022-03-01 11:45:00,,
48,48,2022-03-01 12:00:00,2022-03-01 12:00:00,,
49,49,2022-03-01 12:15:00,2022-03-01 12:15:00,,
50,50,2022-03-01 12:30:00,2022-03-01 12:30:00,,
51,51,2022-03-01 12:45:00,2022-03-01 12:45:00,,
52,52,2022-03-01 13:00:00,2022-03-01 13:00:00,,
53,53,2022-03-01 13:15:00,2022-03-01 13:15:00,,
54,54,2022-03-01 13:30:00,2022-03-01 13:30:00,,
55,55,2022-03-01 13:45:00,2022-03-01 13:45:00,,
56,56,2022-03-01 14:00:00,2022-03-01 14:00:00,,
57,57,2022-03-01 14:15:00,2022-03-01 14:15:00,,
58,58,2022-03-01 14:30:00,2022-03-01 14:30:00,,
59,59,2022-03-01 14:45:00,2022-03-01 14:45:00,,
60,60,2022-03-01 15:00:00,2022-03-01 15:00:00,,
61,61,2022-03-01 15:15:00,2022-03-01 15:15:00,,
62,62,2022-03-01 15:30:00,2022-03-01 15:30:00,,
63,63,2022-03-01 15:45:00,2022-03-01 15:45:00,,
64,64,2022-03-01 16:00:00,2022-03-01 16:00:00,,
65,65,2022-03-01 16:15:00,2022-03-01 16:15:00,,
66,66,2022-03-01 16:30:00,2022-03-01 16:30:00,,
67,67,2022-03-01 16:45:00,2022-03-01 16:45:00,,
68,68,2022-03-01 17:00:00,2022-03-01 17:00:00,,
69,69,2022-03-01 17:15:00,2022-03-01 17:15:00,,
70,70,2022-03-01 17:30:00,2022-03-01 17:30:00,,
71,71,2022-03-01 17:45:00,2022-03-01 17:45:00,,
72,72,2022-03-01 18:00:00,2022-03-01 18:00:00,,
73,73,2022-03-01 18:15:00,2022-03-01 18:15:00,,
74,74,2022-03-01 18:30:00,2022-03-01 18:30:00,,
75,75,2022-03-01 18:45:00,2022-03-01 18:45:00,,
76,76,2022-03-01 19:00:00,2022-03-01 19:00:00,,
77,77,2022-03-01 19:15:00,2022-03-01 19:15:00,,
78,78,2022-03-01 19:30:00,2022-03-01 19:30:00,,
79,79,2022-03-01 19:45:00,2022-03-01 19:45:00,,
80,80,2022-03-01 20:00:00,2022-03-01 20:00:00,,
81,81,2022-03-01 20:15:00,2022-03-01 20:15:00,,
82,82,2022-03-01 20:30:00,2022-03-01 20:30:00,,
83,83,2022-03-01 20:45:00,2022-03-01 20:45:00,,
84,84,2022-03-01 21:00:00,2022-03-01 21:00:00,,
85,85,2022-03-01 21:15:00,2022-03-01 21:15:00,,
86,86,2022-03-01 21:30:00,2022-03-01 21:30:00,,
87,87,2022-03-01 21:45:00,2022-03-01 21:45:00,,
88,88,2022-03-01 22:00:00,2022-03-01 22:00:00,,
89,89,2022-03-01 22:15:00,2022-03-01 22:15:00,,
90,90,2022-03-01 22:30:00,2022-03-01 22:30:00,,
91,91,2022-03-01 22:45:00,2022-03-01 22:45:00,,
92,92,2022-03-01 23:00:00,2022-03-01 23:00:00,,
93,93,2022-03-01 23:15:00,2022-03-01 23:15:00,,
94,94,2022-03-01 23:30:00,2022-03-01 23:30:00,,
95,95,2022-03-01 23:45:00,2022-03-01 23:45:00,,
96,96,2022-03-02 00:00:00,2022-03-02 00:00:00,,
97,97,2022-03-02 00:15:00,2022-03-02 00:15:00,,
98,98,2022-03-02 00:30:00,2022-03-02 00:30:00,,
99,99,2022-03-02 00:45:00,2022-03-02 00:45:00,,
100,100,2022-03-02 01:00:00,2022-03-02 01:00:00,,
101,101,2022-03-02 01:15:00,2022-03-02 01:15:00,,
102,102,2022-03-02 01:30:00,2022-03-02 01:30:00,,
103,103,2022-03-02 01:45:00,2022-03-02 01:45:00,,
104,104,2022-03-02 02:00:00,2022-03-02 02:00:00,,
105,105,2022-03-02 02:15:00,2022-03-02 02:15:00,,
106,106,2022-03-02 02:30:00,2022-03-02 02:30:00,,
107,107,2022-03-02 02:45:00,2022-03-02 02:45:00,,
108,108,2022-03-02 03:00:00,2022-03-02 03:00:00,,
109,109,2022-03-02 03:15:00,2022-03-02 03:15:00,,
110,110,2022-03-02 03:30:00,2022-03-02 03:30:00,,
111,111,2022-03-02 03:45:00,2022-03-02 03:45:00,,
112,112,2022-03-02 04:00:00,2022-03-02 04:00:00,,
113,113,2022-03-02 04:15:00,2022-03-02 04:15:00,,
114,114,2022-03-02 04:30:00,2022-03-02 04:30:00,,
115,115,2022-03-02 04:45:00,2022-03-02 04:45:00,,
116,116,2022-03-02 05:00:00,2022-03-02 05:00:00,,
117,117,2022-03-02 05:15:00,2022-03-02 05:15:00,,
118,118,2022-03-02 05:30:00,2022-03-02 05:30:00,,
119,119,2022-03-02 05:45:00,2022-03-02 05:45:00,,
120,120,2022-03-02 06:00:00,2022-03-02 06:00:00,,
121,121,2022-03-02 06:15:00,2022-03-02 06:15:00,,
122,122,2022-03-02 06:30:00,2022-03-02 06:30:00,,
123,123,2022-03-02 06:45:00,2022-03-02 06:45:00,,
124,124,2022-03-02 07:00:00,2022-03-02 07:00:00,,
125,125,2022-03-02 07:15:00,2022-03-02 07:15:00,,
126,126,2022-03-02 07:30:00,2022-03-02 07:30:00,,
127,127,2022-03-02 07:45:00,2022-03-02 07:45:00,,
128,128,2022-03-02 08:00:00,2022-03-02 08:00:00,,
129,129,2022-03-02 08:15:00,2022-03-02 08:15:00,,
130,130,2022-03-02 08:30:00,2022-03-02 08:30:00,,
131,131,2022-03-02 08:45:00,2022-03-02 08:45:00,,
132,132,2022-03-02 09:00:00,2022-03-02 09:00:00,,
133,133,2022-03-02 09:15:00,2022-03-02 09:15:00,,
134,134,2022-03-02 09:30:00,2022-03-02 09:30:00,,
135,135,2022-03-02 09:45:00,2022-03-02 09:45:00,,
136,136,2022-03-02 10:00:00,2022-03-02 10:00:00,,
137,137,2022-03-02 10:15:00,2022-03-02 10:15:00,,
138,138,2022-03-02 10:30:00,2022-03-02 10:30:00,,
139,139,2022-03-02 10:45:00,2022-03-02 10:45:00,,
140,140,2022-03-02 11:00:00,2022-03-02 11:00:00,,
141,141,2022-03-02 11:15:00,2022-03-02 11:15:00,,
142,142,2022-03-02 11:30:00,2022-03-02 11:30:00,,
143,143,2022-03-02 11:45:00,2022-03-02 11:45:00,,
144,144,2022-03-02 12:00:00,2022-03-02 12:00:00,,
145,145,2022-03-02 12:15:00,2022-03-02 12:15:00,,
146,146,2022-03-02 12:30:00,2022-03-02 12:30:00,,
147,147,2022-03-02 12:45:00,2022-03-02 12:45:00,,
148,148,2022-03-02 13:00:00,2022-03-02 13:00:00,,
149,149,2022-03-02 13:15:00,2022-03-02 13:15:00,,
150,150,2022-03-02 13:30:00,2022-03-02 13:30:00,,
151,151,2022-03-02 13:45:00,2022-03-02 13:45:00,,
152,152,2022-03-02 14:00:00,2022-03-02 14:00:00,,
153,153,2022-03-02 14:15:00,2022-03-02 14:15:00,,
154,154,2022-03-02 14:30:00,2022-03-02 14:30:00,,
155,155,2022-03-02 14:45:00,2022-03-02 14:45:00,,
156,156,2022-03-02 15:00:00,2022-03-02 15:00:00,,
157,157,2022-03-02 15:15:00,2022-03-02 15:15:00,,
158,158,2022-03-02 15:30:00,2022-03-02 15:30:00,,
159,159,2022-03-02 15:45:00,2022-03-02 15:45:00,,
160,160,2022-03-02 16:00:00,2022-03-02 16:00:00,,
161,161,2022-03-02 16:15:00,2022-03-02 16:15:00,,
162,162,2022-03-02 16:30:00,2022-03-02 16:30:00,,
163,163,2022-03-02 16:45:00,2022-03-02 16:45:00,,
164,164,2022-03-02 17:00:00,2022-03-02 17:00:00,,
165,165,2022-03-02 17:15:00,2022-03-02 17:15:00,,
166,166,2022-03-02 17:30:00,2022-03-02 17:30:00,,
167,167,2022-03-02 17:45:00,2022-03-02 17:45:00,,
168,168,2022-03-02 18:00:00,2022-03-02 18:00:00,,
169,169,2022-03-02 18:15:00,2022-03-02 18:15:00,,
170,170,2022-03-02 18:30:00,2022-03-02 18:30:00,,
171,171,2022-03-02 18:45:00,2022-03-02 18:45:00,,
172,172,2022-03-02 19:00:00,2022-03-02 19:00:00,,
173,173,2022-03-02 19:15:00,2022-03-02 19:15:00,,
174,174,2022-03-02 19:30:00,2022-03-02 19:30:00,,
175,175,2022-03-02 19:45:00,2022-03-02 19:45:00,,
176,176,2022-03-02 20:00:00,2022-03-02 20:00:00,,
177,177,2022-03-02 20:15:00,2022-03-02 20:15:00,,
178,178,2022-03-02 20:30:00,2022-03-02 20:30:00,,
179,179,2022-03-02 20:45:00,2022-03-02 20:45:00,,
180,180,2022-03-02 21:00:00,2022-03-02 21:00:00,,
181,181,2022-03-02 21:15:00,2022-03-02 21:15:00,,
182,182,2022-03-02 21:30:00,2022-03-02 21:30:00,,
183,183,2022-03-02 21:45:00,2022-03-02 21:45:00,,
184,184,2022-03-02 22:00:00,2022-03-02 22:00:00,,
185,185,2022-03-02 22:15:00,2022-03-02 22:15:00,,
186,186,2022-03-02 22:30:00,2022-03-02 22:30:00,,
187,187,2022-03-02 22:45:00,2022-03-02 22:45:00,,
188,188,2022-03-02 23:00:00,2022-03-02 23:00:00,,
189,189,2022-03-02 23:15:00,2022-03-02 23:15:00,,
190,190,2022-03-02 23:30:00,2022-03-02 23:30:00,,
191,191,2022-03-02 23:45:00,2022-03-02 23:45:00,,
192,192,2022-03-03 00:00:00,2022-03-03 00:00:00,,
193,193,2022-03-03 00:15:00,2022-03-03 00:15:00,,
194,194,2022-03-03 00:30:00,2022-03-03 00:30:00,,
195,195,2022-03-03 00:45:00,2022-03-03 00:45:00,,
196,196,2022-03-03 01:00:00,2022-03-03 01:00:00,,
197,197,2022-03-03 01:15:00,2022-03-03 01:15:00,,
198,198,2022-03-03 01:30:00,2022-03-03 01:30:00,,
199,199,2022-03-03 01:45:00,2022-03-03 01:45:00,,
200,200,2022-03-03 02:00:00,2022-03-03 02:00:00,,
201,201,2022-03-03 02:15:00,2022-03-03 02:15:00,,
202,202,2022-03-03 02:30:00,2022-03-03 02:30:00,,
203,203,2022-03-03 02:45:00,2022-03-03 02:45:00,,
204,204,2022-03-03 03:00:00,2022-03-03 03:00:00,,
205,205,2022-03-03 03:15:00,2022-03-03 03:15:00,,
206,206,2022-03-03 03:30:00,2022-03-03 03:30:00,,
207,207,2022-03-03 03:45:00,2022-03-03 03:45:00,,
208,208,2022-03-03 04:00:00,2022-03-03 04:00:00,,
209,209,2022-03-03 04:15:00,2022-03-03 04:15:00,,
210,210,2022-03-03 04:30:00,2022-03-03 04:30:00,,
211,211,2022-03-03 04:45:00,2022-03-03 04:45:00,,
212,212,2022-03-03 05:00:00,2022-03-03 05:00:00,,
213,213,2022-03-03 05:15:00,2022-03-03 05:15:00,,
214,214,2022-03-03 05:30:00,2022-03-03 05:30:00,,
215,215,2022-03-03 05:45:00,2022-03-03 05:45:00,,
216,216,2022-03-03 06:00:00,2022-03-03 06:00:00,,
217,217,2022-03-03 06:15:00,2022-03-03 06:15:00,,
218,218,2022-03-03 06:30:00,2022-03-03 06:30:00,,
219,219,2022-03-03 06:45:00,2022-03-03 06:45:00,,
220,220,2022-03-03 07:00:00,2022-03-03 07:00:00,,
221,221,2022-03-03 07:15:00,2022-03-03 07:15:00,,
222,222,2022-03-03 07:30:00,2022-03-03 07:30:00,,
223,223,2022-03-03 07:45:00,2022-03-03 07:45:00,,
224,224,2022-03-03 08:00:00,2022-03-03 08:00:00,,
225,225,2022-03-03 08:15:00,2022-03-03 08:15:00,,
226,226,2022-03-03 08:30:00,2022-03-03 08:30:00,,
227,227,2022-03-03 08:45:00,2022-03-03 08:45:00,,
228,228,2022-03-03 09:00:00,2022-03-03 09:00:00,,
229,229,2022-03-03 09:15:00,2022-03-03 09:15:00,,
230,230,2022-03-03 09:30:00,2022-03-03 09:30:00,,
231,231,2022-03-03 09:45:00,2022-03-03 09:45:00,,
232,232,2022-03-03 10:00:00,2022-03-03 10:00:00,,
233,233,2022-03-03 10:15:00,2022-03-03 10:15:00,,
234,234,2022-03-03 10:30:00,2022-03-03 10:30:00,,
235,235,2022-03-03 10:45:00,2022-03-03 10:45:00,,
236,236,2022-03-03 11:00:00,2022-03-03 11:00:00,,
237,237,2022-03-03 11:15:00,2022-03-03 11:15:00,,
238,238,2022-03-03 11:30:00,2022-03-03 11:30:00,,
239,239,2022-03-03 11:45:00,2022-03-03 11:45:00,,
240,240,2022-03-03 12:00:00,2022-03-03 12:00:00,,
241,241,2022-03-03 12:15:00,2022-03-03 12:15:00,,
242,242,2022-03-03 12:30:00,2022-03-03 12:30:00,,
243,243,2022-03-03 12:45:00,2022-03-03 12:45:00,,
244,244,2022-03-03 13:00:00,2022-03-03 13:00:00,,
245,245,2022-03-03 13:15:00,2022-03-03 13:15:00,,
246,246,2022-03-03 13:30:00,2022-03-03 13:30:00,,
247,247,2022-03-03 13:45:00,2022-03-03 13:45:00,,
248,248,2022-03-03 14:00:00,2022-03-03 14:00:00,,
249,249,2022-03-03 14:15:00,2022-03-03 14:15:00,,
250,250,2022-03-03 14:30:00,2022-03-03 14:30:00,,
251,251,2022-03-03 14:45:00,2022-03-03 14:45:00,,
252,252,2022-03-03 15:00:00,2022-03-03 15:00:00,,
253,253,2022-03-03 15:15:00,2022-03-03 15:15:00,,
254,254,2022-03-03 15:30:00,2022-03-03 15:30:00,,
255,255,2022-03-03 15:45:00,2022-03-03 15:45:00,,
256,256,2022-03-03 16:00:00,2022-03-03 16:00:00,,
257,257,2022-03-03 16:15:00,2022-03-03 16:15:00,,
258,258,2022-03-03 16:30:00,2022-03-03 16:30:00,,
259,259,2022-03-03 16:45:00,2022-03-03 16:45:00,,
260,260,2022-03-03 17:00:00,2022-03-03 17:00:00,,
261,261,2022-03-03 17:15:00,2022-03-03 17:15:00,,
262,262,2022-03-03 17:30:00,2022-03-03 17:30:00,,
263,263,2022-03-03 17:45:00,2022-03-03 17:45:00,,
264,264,2022-03-03 18:00:00,2022-03-03 18:00:00,,
265,265,2022-03-03 18:15:00,2022-03-03 18:15:00,,
266,266,2022-03-03 18:30:00,2022-03-03 18:30:00,,
267,267,2022-03-03 18:45:00,2022-03-03 18:45:00,,
268,268,2022-03-03 19:00:00,2022-03-03 19:00:00,,
269,269,2022-03-03 19:15:00,2022-03-03 19:15:00,,
270,270,2022-03-03 19:30:00,2022-03-03 19:30:00,,
271,271,2022-03-03 19:45:00,2022-03-03 19:45:00,,
272,272,2022-03-03 20:00:00,2022-03-03 20:00:00,,
273,273,2022-03-03 20:15:00,2022-03-03 20:15:00,,
274,274,2022-03-03 20:30:00,2022-03-03 20:30:00,,
275,275,2022-03-03 20:45:00,2022-03-03 20:45:00,,
276,276,2022-03-03 21:00:00,2022-03-03 21:00:00,,
277,277,2022-03-03 21:15:00,2022-03-03 21:15:00,,
278,278,2022-03-03 21:30:00,2022-03-03 21:30:00,,
279,279,2022-03-03 21:45:00,2022-03-03 21:45:00,,
280,280,2022-03-03 22:00:00,2022-03-03 22:00:00,,
281,281,2022-03-03 22:15:00,2022-03-03 22:15:00,,
282,282,2022-03-03 22:30:00,2022-03-03 22:30:00,,
283,283,2022-03-03 22:45:00,2022-03-03 22:45:00,,
284,284,2022-03-03 23:00:00,2022-03-03 23:00:00,,
285,285,2022-03-03 23:15:00,2022-03-03 23:15:00,,
286,286,2022-03-03 23:30:00,2022-03-03 23:30:00,,
287,287,2022-03-03 23:45:00,2022-03-03 23:45:00,,
288,288,2022-03-04 00:00:00,2022-03-04 00:00:00,,
289,289,2022-03-04 00:15:00,2022-03-04 00:15:00,,
290,290,2022-03-04 00:30:00,2022-03-04 00:30:00,,
291,291,2022-03-04 00:45:00,2022-03-04 00:45:00,,
292,292,2022-03-04 01:00:00,2022-03-04 01:00:00,,
293,293,2022-03-04 01:15:00,2022-03-04 01:15:00,,
294,294,2022-03-04 01:30:00,2022-03-04 01:30:00,,
295,295,2022-03-04 01:45:00,2022-03-04 01:45:00,,
296,296,2022-03-04 02:00:00,2022-03-04 02:00:00,,
297,297,2022-03-04 02:15:00,2022-03-04 02:15:00,,
298,298,2022-03-04 02:30:00,2022-03-04 02:30:00,,
299,299,2022-03-04 02:45:00,2022-03-04 02:45:00,,
300,300,2022-03-04 03:00:00,2022-03-04 03:00:00,,
301,301,2022-03-04 03:15:00,2022-03-04 03:15:00,,
302,302,2022-03-04 03:30:00,2022-03-04 03:30:00,,
303,303,2022-03-04 03:45:00,2022-03-04 03:45:00,,
304,304,2022-03-04 04:00:00,2022-03-04 04:00:00,,
305,305,2022-03-04 04:15:00,2022-03-04 04:15:00,,
306,306,2022-03-04 04:30:00,2022-03-04 04:30:00,,
307,307,2022-03-04 04:45:00,2022-03-04 04:45:00,,
308,308,2022-03-04 05:00:00,2022-03-04 05:00:00,,
309,309,2022-03-04 05:15:00,2022-03-04 05:15:00,,
310,310,2022-03-04 05:30:00,2022-03-04 05:30:00,,
311,311,2022-03-04 05:45:00,2022-03-04 05:45:00,,
312,312,2022-03-04 06:00:00,2022-03-04 06:00:00,,
313,313,2022-03-04 06:15:00,2022-03-04 06:15:00,,
314,314,2022-03-04 06:30:00,2022-03-04 06:30:00,,
315,315,2022-03-04 06:45:00,2022-03-04 06:45:00,,
316,316,2022-03-04 07:00:00,2022-03-04 07:00:00,,
317,317,2022-03-04 07:15:00,2022-03-04 07:15:00,,
318,318,2022-03-04 07:30:00,2022-03-04 07:30:00,,
319,319,2022-03-04 07:45:00,2022-03-04 07:45:00,,
320,320,2022-03-04 08:00:00,2022-03-04 08:00:00,,
321,321,2022-03-04 08:15:00,2022-03-04 08:15:00,,
322,322,2022-03-04 08:30:00,2022-03-04 08:30:00,,
323,323,2022-03-04 08:45:00,2022-03-04 08:45:00,,
324,324,2022-03-04 09:00:00,2022-03-04 09:00:00,,
325,325,2022-03-04 09:15:00,2022-03-04 09:15:00,,
326,326,2022-03-04 09:30:00,2022-03-04 09:30:00,,
327,327,2022-03-04 09:45:00,2022-03-04 09:45:00,,
328,328,2022-03-04 10:00:00,2022-03-04 10:00:00,,
329,329,2022-03-04 10:15:00,2022-03-04 10:15:00,,
330,330,2022-03-04 10:30:00,2022-03-04 10:30:00,,
331,331,2022-03-04 10:45:00,2022-03-04 10:45:00,,
332,332,2022-03-04 11:00:00,2022-03-04 11:00:00,,
333,333,2022-03-04 11:15:00,2022-03-04 11:15:00,,
334,334,2022-03-04 11:30:00,2022-03-04 11:30:00,,
335,335,2022-03-04 11:45:00,2022-03-04 11:45:00,,
336,336,2022-03-04 12:00:00,2022-03-04 12:00:00,,
337,337,2022-03-04 12:15:00,2022-03-04 12:15:00,,
338,338,2022-03-04 12:30:00,2022-03-04 12:30:00,,
339,339,2022-03-04 12:45:00,2022-03-04 12:45:00,,
340,340,2022-03-04 13:00:00,2022-03-04 13:00:00,,
341,341,2022-03-04 13:15:00,2022-03-04 13:15:00,,
342,342,2022-03-04 13:30:00,2022-03-04 13:30:00,,
343,343,2022-03-04 13:45:00,2022-03-04 13:45:00,,
344,344,2022-03-04 14:00:00,2022-03-04 14:00:00,,
345,345,2022-03-04 14:15:00,2022-03-04 14:15:00,,
346,346,2022-03-04 14:30:00,2022-03-04 14:30:00,,
347,347,2022-03-04 14:45:00,2022-03-04 14:45:00,,
348,348,2022-03-04 15:00:00,2022-03-04 15:00:00,,
349,349,2022-03-04 15:15:00,2022-03-04 15:15:00,,
350,350,2022-03-04 15:30:00,2022-03-04 15:30:00,,
351,351,2022-03-04 15:45:00,2022-03-04 15:45:00,,
352,352,2022-03-04 16:00:00,2022-03-04 16:00:00,,
353,353,2022-03-04 16:15:00,2022-03-04 16:15:00,,
354,354,2022-03-04 16:30:00,2022-03-04 16:30:00,,
355,355,2022-03-04 16:45:00,2022-03-04 16:45:00,,
356,356,2022-03-04 17:00:00,2022-03-04 17:00:00,,
357,357,2022-03-04 17:15:00,2022-03-04 17:15:00,,
358,358,2022-03-04 17:30:00,2022-03-04 17:30:00,,
359,359,2022-03-04 17:45:00,2022-03-04 17:45:00,,
360,360,2022-03-04 18:00:00,2022-03-04 18:00:00,,
361,361,2022-03-04 18:15:00,2022-03-04 18:15:00,,
362,362,2022-03-04 18:30:00,2022-03-04 18:30:00,,
363,363,2022-03-04 18:45:00,2022-03-04 18:45:00,,
364,364,2022-03-04 19:00:00,2022-03-04 19:00:00,,
365,365,2022-03-04 19:15:00,2022-03-04 19:15:00,,
366,366,2022-03-04 19:30:00,2022-03-04 19:30:00,,
367,367,2022-03-04 19:45:00,2022-03-04 19:45:00,,
368,368,2022-03-04 20:00:00,2022-03-04 20:00:00,,
369,369,2022-03-04 20:15:00,2022-03-04 20:15:00,,
370,370,2022-03-04 20:30:00,2022-03-04 20:30:00,,
371,371,2022-03-04 20:45:00,2022-03-04 20:45:00,,
372,372,2022-03-04 21:00:00,2022-03-04 21:00:00,,
373,373,2022-03-04 21:15:00,2022-03-04 21:15:00,,
374,374,2022-03-04 21:30:00,2022-03-04 21:30:00,,
375,375,2022-03-04 21:45:00,2022-03-04 21:45:00,,
376,376,2022-03-04 22:00:00,2022-03-04 22:00:00,,
377,377,2022-03-04 22:15:00,2022-03-04 22:15:00,,
378,378,2022-03-04 22:30:00,2022-03-04 22:30:00,,
379,379,2022-03-04 22:45:00,2022-03-04 22:45:00,,
380,380,2022-03-04 23:00:00,2022-03-04 23:00:00,,
381,381,2022-03-04 23:15:00,2022-03-04 23:15:00,,
382,382,2022-03-04 23:30:00,2022-03-04 23:30:00,,
383,383,2022-03-04 23:45:00,2022-03-04 23:45:00,,
384,384,2022-03-05 00:00:00,2022-03-05 00:00:00,,
385,385,2022-03-05 00:15:00,2022-03-05 00:15:00,,
386,386,2022-03-05 00:30:00,2022-03-05 00:30:00,,
387,387,2022-03-05 00:45:00,2022-03-05 00:45:00,,
388,388,2022-03-05 01:00:00,2022-03-05 01:00:00,,
389,389,2022-03-05 01:15:00,2022-03-05 01:15:00,,
390,390,2022-03-05 01:30:00,2022-03-05 01:30:00,,
391,391,2022-03-05 01:45:00,2022-03-05 01:45:00,,
392,392,2022-03-05 02:00:00,2022-03-05 02:00:00,,
393,393,2022-03-05 02:15:00,2022-03-05 02:15:00,,
394,394,2022-03-05 02:30:00,2022-03-05 02:30:00,,
395,395,2022-03-05 02:45:00,2022-03-05 02:45:00,,
396,396,2022-03-05 03:00:00,2022-03-05 03:00:00,,
397,397,2022-03-05 03:15:00,2022-03-05 03:15:00,,
398,398,2022-03-05 03:30:00,2022-03-05 03:30:00,,
399,399,2022-03-05 03:45:00,2022-03-05 03:45:00,,
400,400,2022-03-05 04:00:00,2022-03-05 04:00:00,,
401,401,2022-03-05 04:15:00,2022-03-05 04:15:00,,
402,402,2022-03-05 04:30:00,2022-03-05 04:30:00,,
403,403,2022-03-05 04:45:00,2022-03-05 04:45:00,,
404,404,2022-03-05 05:00:00,2022-03-05 05:00:00,,
405,405,2022-03-05 05:15:00,2022-03-05 05:15:00,,
406,406,2022-03-05 05:30:00,2022-03-05 05:30:00,,
407,407,2022-03-05 05:45:00,2022-03-05 05:45:00,,
408,408,2022-03-05 06:00:00,2022-03-05 06:00:00,,
409,409,2022-03-05 06:15:00,2022-03-05 06:15:00,,
410,410,2022-03-05 06:30:00,2022-03-05 06:30:00,,
411,411,2022-03-05 06:45:00,2022-03-05 06:45:00,,
412,412,2022-03-05 07:00:00,2022-03-05 07:00:00,,
413,413,2022-03-05 07:15:00,2022-03-05 07:15:00,,
414,414,2022-03-05 07:30:00,2022-03-05 07:30:00,,
415,415,2022-03-05 07:45:00,2022-03-05 07:45:00,,
416,416,2022-03-05 08:00:00,2022-03-05 08:00:00,,
417,417,2022-03-05 08:15:00,2022-03-05 08:15:00,,
418,418,2022-03-05 08:30:00,2022-03-05 08:30:00,,
419,419,2022-03-05 08:45:00,2022-03-05 08:45:00,,
420,420,2022-03-05 09:00:00,2022-03-05 09:00:00,,
421,421,2022-03-05 09:15:00,2022-03-05 09:15:00,,
422,422,2022-03-05 09:30:00,2022-03-05 09:30:00,,
423,423,2022-03-05 09:45:00,2022-03-05 09:45:00,,
424,424,2022-03-05 10:00:00,2022-03-05 10:00:00,,
425,425,2022-03-05 10:15:00,2022-03-05 10:15:00,,
426,426,2022-03-05 10:30:00,2022-03-05 10:30:00,,
427,427,2022-03-05 10:45:00,2022-03-05 10:45:00,,
428,428,2022-03-05 11:00:00,2022-03-05 11:00:00,,
429,429,2022-03-05 11:15:00,2022-03-05 11:15:00,,
430,430,2022-03-05 11:30:00,2022-03-05 11:30:00,,
431,431,2022-03-05 11:45:00,2022-03-05 11:45:00,,
432,432,2022-03-05 12:00:00,2022-03-05 12:00:00,,
433,433,2022-03-05 12:15:00,2022-03-05 12:15:00,,
434,434,2022-03-05 12:30:00,2022-03-05 12:30:00,,
435,435,2022-03-05 12:45:00,2022-03-05 12:45:00,,
